source,target,type,logic,shiny,value,detail
shiny,server,,,,,
server,shinySNPAssoc,module,server,callModule,,
probs_obj,shinySNPAssoc,module,server,,,
shinySNPAssoc,shinyScan1SNP,module,server,callModule,,
shinySNPAssoc,shinySNP,module,server,callModule,,
shinySNPAssoc,shinySNPCsq,module,server,callModule,,
shinySNPCsq,shinyGeneRegion,module,server,callModule,,
shinySNPCsq,shinyGeneExon,module,server,callModule,,
shinySNPAssoc,shinyTopSNP,module,server,callModule,,
shinySNPAssoc,shinyTopFeature,module,server,callModule,,
shinyScan1SNP,snp_scan_obj,tibble,server,reactive,,
snp_scan_obj,top_snps_tbl,tibble,server,reactive,,
top_snps_tbl,shinySNPCsq,module,server,,,
shinySNPCsq,gene_exon_tbl,tibble,server,reactive,,
snp_scan_obj,shinyTopSNP,module,server,,,
snp_scan_obj,shinyTopFeature,module,server,,,
top_snps_tbl,shinyTopFeature,module,server,,,
gene_exon_tbl,shinyTopFeature,module,server,,,
shinySNPAssoc,patterns,tibble,server,,,
shiny,ui,,,,,
ui,shinySNPAssocUI,,,,,
ui,shinySNPAssocOutput,,,,,
shinySNPAssocUI,snp_choice,output,server,radioButtons,,
snp_choice,snp_assoc,input,ui,radioButtons,,
snp_choice,allele_pat,input,ui,radioButtons,,
shinySNPAssocUI,extra_choice,output,server,renderUI,,
extra_choice,shinySNPInput,module,ui,,,type of summary to show
shinySNPAssocUI,download_csv_plot,output,server,renderUI,,
download_csv_plot,shinySNPUI,module,ui,,,CSV summary table
download_csv_plot,download_snp_assoc,output,server,renderUI,,
download_snp_assoc,shinyScan1SNPUI,module,ui,,,
download_snp_assoc,shinySNPCsqUI,module,ui,,,
shinySNPCsqUI,shinyGeneRegionUI,module,ui,,,
shinySNPCsqUI,shinyGeneExonUI,module,ui,,,
shinySNPAssocOutput,snp_output,output,server,renderUI,,
snp_assoc,snp_output,output,server,,,
allele_pat,snp_output,output,server,,,
snp_output,shinyScan1SNPOutput,module,ui,,Scan,
snp_output,shinySNPOutput,module,ui,,Summary,show summary table
snp_output,shinySNPCsqOutput,module,ui,,"Genes,Exons",
shinySNPCsqOutput,shinyGeneRegionOutput,module,ui,,,
shinySNPCsqOutput,shinyGeneExonOutput,module,ui,,,
snp_output,shinyTopFeatureOutput,module,ui,,Top SNPs,
snp_output,shinyTopSNPOutput,module,ui,,"Pattern,All Phenos,All Patterns,Summary",
shinySNPAssocUI,phe_choice,output,server,renderUI,,
shinySNPAssocUI,win_choice,input,ui,renderUI,,
phe_choice,pheno_assoc,input,ui,selectInput,,
win_choice,scan_window,input,ui,sliderInput,,
pheno_assoc,shinyScan1SNP,module,ui,,,
scan_window,shinyScan1SNP,module,ui,,,
scan_window,shinySNPCsq,module,ui,,,
scan_window,shinyTopSNP,module,ui,,,
