source,target,logic,value
shiny,ui,server,
shiny,server,server,
server,Setup,server,
server,Haplo,server,
server,Diplo,server,
Setup,set_par,server,
ui,SetupOutput,ui,
ui,SetupUI,ui,
ui,HaploUI,ui,
ui,DiploUI,ui,
Setup,Peaks,server,
Setup,Phenos,server,
Setup,PhenoPlot,server,
SetupUI,PeaksInput,ui,
SetupUI,PhenosUI,ui,
SetupUI,PhenoPlotUI,ui,
Peaks,Hotspot,server,
Peaks,win_par,server,
PeaksInput,HotspotInput,ui,
PeaksOutput,HotspotOutput,ui,
Phenos,phe_par,server,
Haplo,Probs,server,
Haplo,Scan1Plot,server,
Haplo,SNPAllele,server,
HaploUI,Scan1PlotUI,ui,
HaploUI,SNPAlleleUI,ui,
HaploUI,Scan1PlotOutput,ui,
HaploUI,SNPAlleleOutput,ui,
Diplo,Probs36,server,
Diplo,SNPAllele,server,
Diplo,Pattern,server,
DiploUI,PatternUI,ui,
DiploUI,SNPAlleleUI,ui,
DiploUI,PatternOutput,ui,
DiploUI,SNPAlleleOutput,ui,
SNPAllele,SNPProbs,server,
SNPAllele,SNPAssoc,server,
SNPAllele,AllelePat,server,
SNPAlleleUI,SNPAssocInput,ui,
SNPAlleleUI,AllelePatInput,ui,
SNPAlleleOutput,SNPAssocOutput,ui,
SNPAlleleOutput,AllelePatOutput,ui,
SNPAlleleUI,SNPAssocUI,ui,
SNPAlleleUI,AllelePatUI,ui,
SNPAssoc,Scan1SNP,server,
SNPAssoc,SNP,server,
SNPAssoc,GeneRegion,server,
SNPAssoc,GeneExon,server,
SNPAssocInput,GeneExonInput,ui,
SNPAssocInput,SNPInput,ui,
SNPAssocOutput,Scan1SNPOutput,ui,
SNPAssocOutput,GeneRegionOutput,ui,
SNPAssocOutput,GeneExonOutput,ui,
SNPAssocOutput,SNPOutput,ui,
SNPAssocUI,SNPUI,ui,
SNPAssocUI,Scan1SNPUI,ui,
SNPAssocUI,GeneRegionUI,ui,
SNPAssocUI,GeneExonUI,ui,
AllelePat,TopFeature,server,
AllelePatInput,TopFeatureInput,ui,
AllelePatOutput,TopFeatureOutput,ui,
AllelePatUI,TopFeatureUI,ui,
AllelePat,pat_par,server,
SNPAllele,patterns,server,
