node,type,logic,shiny,task,detail
shiny,shiny,shiny,shiny,,
server,shiny,shiny,shiny,,
ui,shiny,shiny,shiny,,
patterns,table,reactive,reactive,,
pat_par,input,reactive,input,,
phe_par,input,reactive,input,,
set_par,list,reactive,reactive,,"list of win_par, phe_par"
win_par,input,reactive,input,,
AllelePat,module,server,s_module,,
AllelePatInput,module,ui,u_module,,
AllelePatOutput,module,ui,u_module,,
AllelePatUI,module,ui,u_module,,
Diplo,module,server,s_module,,
DiploUI,module,ui,u_module,,
GeneExon,module,server,s_module,,
GeneExonInput,module,ui,u_module,,
GeneExonOutput,module,ui,u_module,,
GeneExonUI,module,ui,u_module,,
GeneRegion,module,server,s_module,,
GeneRegionOutput,module,ui,u_module,,
GeneRegionUI,module,ui,u_module,,
Haplo,module,server,s_module,,
HaploUI,module,ui,u_module,,
Hotspot,module,server,s_module,,
HotspotInput,module,ui,u_module,,
HotspotOutput,module,ui,u_module,,
Pattern,module,server,s_module,,
PatternOutput,module,ui,u_module,,
PatternUI,module,ui,u_module,,
Peaks,module,server,s_module,,
PeaksInput,module,ui,u_module,,
PeaksOutput,module,ui,u_module,,
PhenoPlot,module,server,s_module,,
PhenoPlotUI,module,ui,u_module,,
Phenos,module,server,s_module,,
PhenosUI,module,ui,u_module,,
Probs,module,server,s_module,,genotype probabilities
Probs36,module,server,s_module,,genotype probabilities
SNPProbs,module,server,s_module,,genotype probabilities
Scan1Plot,module,server,s_module,,
Scan1PlotOutput,module,ui,u_module,,Scan
Scan1PlotUI,module,ui,u_module,,
Scan1SNP,module,server,s_module,,
Scan1SNPOutput,module,ui,u_module,,Scan
Scan1SNPUI,module,ui,u_module,,
Setup,module,server,s_module,,
SetupOutput,module,ui,u_module,,
SetupUI,module,ui,u_module,,
SNP,module,server,s_module,,
SNPInput,module,ui,u_module,,type of summary to show
SNPOutput,module,ui,u_module,,show summary table
SNPUI,module,ui,u_module,,CSV summary table
SNPAllele,module,server,s_module,,
SNPAlleleOutput,module,ui,u_module,,
SNPAlleleUI,module,ui,u_module,,
SNPAssoc,module,server,u_module,,
SNPAssocInput,module,ui,u_module,,"Genes,Exons"
SNPAssocOutput,module,ui,u_module,,"Genes,Exons"
SNPAssocUI,module,ui,u_module,,"Genes,Exons"
TopFeature,module,server,s_module,,
TopFeatureInput,module,ui,u_module,,Top SNPs
TopFeatureOutput,module,ui,u_module,,Top SNPs
TopFeatureUI,module,ui,u_module,download,Top SNPs
