node,type,logic,shiny,detail
allele_pat,input,ui,radioButtons,
download_csv_plot,output,server,renderUI,
download_snp_assoc,output,server,renderUI,
extra_choice,output,server,renderUI,
gene_exon_tbl,tibble,server,reactive,
patterns,tibble,server,reactive,
phe_choice,output,server,renderUI,
phe_par,input,ui,input,
pheno_assoc,input,ui,selectInput,
scan_window,input,ui,sliderInput,
server,shiny,shiny,shiny,
set_par,input,ui,reactive,"list of win_par, phe_par"
shiny,shiny,shiny,shiny,
shinyDIplo,module,server,s_module,
shinyDiploUI,module,ui,u_module,
shinyGeneExon,module,server,s_module,
shinyGeneExonOutput,module,ui,u_module,
shinyGeneExonUI,module,ui,u_module,
shinyGeneRegion,module,server,s_module,
shinyGeneRegionOutput,module,ui,u_module,
shinyGeneRegionUI,module,ui,u_module,
shinyHaplo,module,server,s_module,
shinyHaploUI,module,ui,u_module,
shinyHotspot,module,server,s_module,
shinyHotspotInput,module,ui,u_module,
shinyHotspotOutput,module,ui,u_module,
shinyPeaks,module,server,s_module,
shinyPeaksInput,module,ui,u_module,
shinyPeaksOutput,module,ui,u_module,
shinyPhenoPlot,module,server,s_module,
shinyPhenoPlotUI,module,ui,u_module,
shinyPhenos,module,server,s_module,
shinyPhenosUI,module,ui,u_module,
shinyScan1SNP,module,server,s_module,
shinyScan1SNPOutput,module,ui,u_module,Scan
shinyScan1SNPUI,module,ui,u_module,
shinySetup,module,server,s_module,
shinySetupOutput,module,ui,u_module,
shinySetupUI,module,ui,u_module,
shinySNP,module,server,s_module,
shinySNPInput,module,ui,u_module,type of summary to show
shinySNPOutput,module,ui,u_module,show summary table
shinySNPUI,module,ui,u_module,CSV summary table
shinySNPAllele,module,server,s_module,
shinySNPAlleleOutput,module,ui,u_module,
shinySNPAlleleUI,module,ui,u_module,
shinySNPAssoc,module,server,s_module,
shinySNPAssoc,module,server,u_module,
shinySNPAssocOutput,module,ui,u_module,"Genes,Exons"
shinySNPCsqUI,module,ui,u_module,
shinyTopFeature,module,server,s_module,
shinyTopFeatureOutput,module,ui,u_module,Top SNPs
shinyTopSNP,module,server,s_module,
shinyTopSNPOutput,module,ui,u_module,"Pattern,All Phenos,All Patterns,Summary"
snp_assoc,input,ui,radioButtons,
snp_choice,output,server,radioButtons,
snp_output,output,server,renderUI,
snp_scan_obj,tibble,server,reactive,
top_snps_tbl,tibble,server,reactive,
ui,shiny,shiny,shiny,
win_choice,input,ui,renderUI,
win_par,input,ui,input,
